#p.58
そのこととなく	其の事と無く	①これということもなく	
そばむ	側む	①側向く	
そほつ［そぼづ・そぼふる・そぼぬる］	濡つ［濡づ・濡降る・濡濡る］	①しっとりと濡れる ②（雨などが）しとしとと降る	
…そむ	…初む	①…し始める ②初めて…する	→…はつ
そら…	虚…	①嘘の…	「そらごと」＝嘘／「そらなき」＝嘘泣き
そらなり	空なり	①空虚で根拠がない	「そらに」＝暗記して
ぞんず	存ず	①「思ふ」の《謙譲語》	
たいだいし	怠怠し	①もってのほかだ	
たえて…		①少しも【全く・決して】…《打消》	→かけて…・さらに…・つやつや…・ゆめ（ゆめ）…・よに…
たがふ	違ふ	①違う	→ちがふ・よそふ
たぐふ	類ふ・比ふ	①寄り添う ②例える・準える	「たぐひなし」＝並ぶものがない程だ／→よそふ
たく	長く	①年を重ねる	
たけし	猛し	①強く勇ましい	
たづき［たつき］	方便	①手段方法	「たづき［たつき］なし」＝頼りとするところがない／→たより
たてまつる	奉る	①「与ふ」の《謙譲語》 ②「飲む・食ふ・着る・乗る」の《尊敬語》《四段》	
たのむ	頼む	①頼みに思う・あてにする《四段》	
